"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L1793","AbortException","hudson.AbortException","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\AbortException.java","36","1","49","2","0","0","0","0","0","0","0","0","0","0","0","2","0","29","24","0","2","0.666667","0.578947","11","11","2","1","0.578947","11","0","0","1","1","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","8","14","1","0","1","0","2","0","2","0","2","1","0","2","0","0","0","3","0","2","1","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17360","AboutJenkins","hudson.AboutJenkins","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\AboutJenkins.java","17","1","55","2","0","0","0","0","0","0","0","0","0","0","0","7","5","0","0","0","7","0.125","0.131579","5","5","1","7","0.131579","5","3","4","0","0","1","33","39","2","13","0","7","7","0","7","0","14","7","1","13","0","33","39","2","13","0","7","7","0","7","0","14","7","1","13","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"L17382","AbstractMarkupText","hudson.AbstractMarkupText","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\AbstractMarkupText.java","42","1","166","2","0","0","0","0","0","0","0","0","1","3","3","21","2","8","13","0","13","0.916667","0.561983","68","65","11","1","0.561983","68","0","0","2","2","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","53","125","0","1","0","1","13","0","11","0","13","27","0","11","0","0","0","5","0","4","0","0","0","0","3","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17452","BulkChange","hudson.BulkChange","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\BulkChange.java","71","1","165","2","0","0","0","0","0","0","0","0","2","2","2","14","1","24","33","1","9","0.857143","0.642276","79","75","6","1","0.642276","79","0","0","0","0","0","44","95","6","0","6","0","8","2","6","0","8","24","2","6","0","44","95","6","0","6","0","8","2","6","0","8","24","2","6","0","0","0","11","0","7","3","0","0","0","7","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"L17491","ClassicPluginStrategy","hudson.ClassicPluginStrategy","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\ClassicPluginStrategy.java","79","1","721","2","0","0","0","0","0","0","0","0","3","4","4","84","23","5","2","35","57","0.1","0.148837","64","27","1","9","0.144348","83","2","2","1","1","1","366","487","5","3","5","3","22","1","9","0","22","229","1","9","0","492","643","13","6","9","5","31","1","10","0","36","292","1","12","0","0","0","83","5","26","1","0","5","0","19","1","8","0","2","3","0","64","1","0","3","0","0","0","0","0","0","0","0","0","0","8","0"
"L14447","CloseProofOutputStream","hudson.CloseProofOutputStream","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\CloseProofOutputStream.java","34","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","1","2","2","1","3","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","8","9","1","0","0","0","2","0","2","0","8","1","0","7","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18752","DependencyRunner","hudson.DependencyRunner","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\DependencyRunner.java","42","1","95","2","0","0","0","0","0","0","0","0","1","3","3","8","8","1","1","7","10","0.333333","0.155556","7","3","1","2","0.145833","7","0","0","0","0","0","38","51","3","0","3","0","3","0","2","0","3","20","0","2","0","41","54","3","0","3","0","4","0","3","0","4","20","0","3","0","0","0","14","0","8","0","0","5","0","3","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17943","DescriptorExtensionList<T extends Describable<T>, D extends Descriptor<T>>","hudson.DescriptorExtensionList","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\DescriptorExtensionList.java","70","1","282","2","0","0","0","0","0","0","0","0","6","3","3","30","10","61","14","15","34","0.833333","0.417526","81","77","10","2","0.38756","81","2","2","1","1","1","113","197","11","7","3","3","19","0","11","0","52","46","3","31","0","128","213","14","7","3","3","22","0","12","0","65","49","3","38","0","0","0","34","0","10","0","0","1","0","9","1","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L19619","DNSMultiCast","hudson.DNSMultiCast","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\DNSMultiCast.java","9","1","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.375","3","3","1","0","0.375","3","0","0","0","0","0","5","7","1","0","1","0","0","1","0","0","0","0","1","0","0","5","7","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L4569","EnvVars","hudson.EnvVars","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\EnvVars.java","75","1","474","2","0","0","0","0","0","0","0","0","4","2","2","37","5","84","68","4","23","0.789474","0.519481","120","110","15","4","0.412698","156","0","0","0","0","0","111","237","4","2","4","2","19","1","18","1","19","61","1","18","1","222","400","19","7","13","4","30","2","23","1","39","117","3","28","1","0","3","48","1","15","3","0","0","0","15","1","0","0","0","0","0","35","0","0","4","0","0","0","0","0","0","0","0","0","0","12","0"
"L19791","ExpressionFactory2","hudson.ExpressionFactory2","L104","L103","C:\GIT\pris2\SourceMeter\Guille\jenkins-jenkins-2.335\core\src\main\java\hudson\ExpressionFactory2.java","23","1","188","2","0","0","0","0","0","0","0","0","1","1","1","2","1","3","0","1","2","0.5","0.458333","11","11","1","1","0.223776","32","0","0","0","0","0","13","39","1","0","1","0","1","0","1","0","1","3","0","1","0","111","166","5","2","5","2","21","0","18","1","21","30","0","18","1","0","0","46","2","7","0","0","1","0","2","1","0","0","0","6","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
